,t,population_end_time,samples,epsilon,particles
0,-1,2023-04-08 13:46:04.525912,1000,inf,1
1,0,2023-04-08 14:23:20.886718,3547,49370.89901357551,1000
2,1,2023-04-08 14:31:41.814755,15991,26351.943985932085,1000
3,2,2023-04-08 14:52:04.978581,5043,14918.517136841321,1000
4,3,2023-04-08 14:52:17.288271,15485,8308.171282237441,1000
5,4,2023-04-08 15:37:24.073780,8575,5273.044690104267,1000
6,5,2023-04-08 15:53:22.916557,15373,3616.256676321239,1000
7,6,2023-04-08 16:34:53.019817,14137,3043.3060299599574,1000
8,7,2023-04-08 17:11:50.418092,22661,2771.0920295239057,1000
9,8,2023-04-08 18:54:11.909988,35184,2552.8985836318298,1000
10,9,2023-04-08 23:32:37.792042,122855,2341.7602440582396,1000
11,10,2023-04-09 04:24:22.258083,135051,2093.965385725607,1000
12,11,2023-04-09 06:33:27.683596,54113,1866.3973024689362,1000
13,12,2023-04-09 08:37:22.639849,63529,1681.377332576128,1000
14,13,2023-04-09 12:13:32.034565,87896,1549.692713973164,1000
15,14,2023-04-09 17:08:27.136044,155300,1449.2083853178544,1000
16,15,2023-04-10 02:28:01.967590,201073,1366.2304566305077,1000
17,16,2023-04-10 11:34:29.051829,289262,1292.3147102352666,1000
