,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-20 10:07:40.587616,500,inf,1
1,0,2023-03-20 10:44:51.928783,1814,47335.17495421607,500
2,1,2023-03-20 11:15:56.462164,4945,24715.57416894606,500
3,2,2023-03-20 11:36:51.403764,5809,13365.05083717703,500
4,3,2023-03-20 12:13:48.698212,5783,7142.561531524448,500
5,4,2023-03-20 12:45:44.594959,8499,4711.61609863906,500
6,5,2023-03-20 13:12:22.319071,10123,3411.904560012502,500
7,6,2023-03-20 13:42:37.191515,10299,2942.8816828367435,500
8,7,2023-03-20 14:39:27.601839,14456,2596.328428291157,500
9,8,2023-03-20 16:44:18.496788,37375,2406.148437160884,500
10,9,2023-03-20 23:15:40.777282,125124,2071.4635585642363,500
11,10,2023-03-21 01:08:40.150756,48738,1785.0785026523708,500
12,11,2023-03-21 02:08:49.847623,21618,1661.6436911888336,500
13,12,2023-03-21 03:55:29.558948,26042,1551.0084594805855,500
14,13,2023-03-21 05:18:34.254979,79906,1422.0121307698516,500
15,14,2023-03-21 08:09:38.988460,159353,1358.5479288473907,500
16,15,2023-03-21 09:02:09.523058,50487,1307.5355271513758,500
17,16,2023-03-21 09:19:16.623379,21755,1244.4460170690413,500
18,17,2023-03-21 10:06:00.202767,64459,1163.1987287529462,500
19,18,2023-03-21 12:00:15.000856,175531,1133.952407071178,500
20,19,2023-03-21 14:43:04.620124,212119,1090.132745939731,500
21,20,2023-03-21 17:46:22.619654,213278,1083.8690185665932,500
22,21,2023-03-22 05:44:18.162147,1227419,1044.2545007579974,500
