,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-20 07:13:27.227482,500,inf,1
1,0,2023-03-20 07:47:23.380724,1564,52153.27146662444,500
2,1,2023-03-20 08:21:18.511026,1908,27555.803314619196,500
3,2,2023-03-20 08:54:52.082541,3135,12116.231255945666,500
4,3,2023-03-20 09:25:13.693603,2567,6887.663540107674,500
5,4,2023-03-20 10:02:06.664668,2736,4856.7959639845585,500
6,5,2023-03-20 10:33:50.938820,2961,3631.7737088244635,500
7,6,2023-03-20 11:30:23.815950,6947,2668.750768914438,500
8,7,2023-03-20 12:45:54.808260,10054,2477.974913991538,500
9,8,2023-03-20 13:19:06.146256,5141,2435.5708022731196,500
10,9,2023-03-20 14:34:04.267234,7323,2333.000374618949,500
11,10,2023-03-20 14:52:58.183179,9575,2291.7414268598636,500
12,11,2023-03-20 16:13:44.884528,33731,2212.9560059319606,500
13,12,2023-03-20 19:50:57.572690,52729,2054.1665720848287,500
14,13,2023-03-20 21:06:10.669817,9774,1977.5275215510367,500
15,14,2023-03-20 22:45:59.111785,17012,1893.4863503720155,500
16,15,2023-03-20 23:44:29.994745,29494,1613.3440565685169,500
17,16,2023-03-21 02:17:09.037850,146509,1535.5470754335654,500
18,17,2023-03-21 03:16:19.630818,99346,1468.580031730253,500
19,18,2023-03-21 04:03:37.667839,99894,1442.4392973328415,500
20,19,2023-03-21 04:23:18.462465,60765,1432.4828093671333,500
21,20,2023-03-21 04:57:52.559061,301743,1366.91150878144,500
22,21,2023-03-21 05:22:12.592298,73155,1362.6169555545841,500
23,22,2023-03-21 05:34:02.605835,47659,1345.8300344146314,500
24,23,2023-03-21 06:11:08.640538,114165,1302.791679823954,500
25,24,2023-03-21 08:04:55.528619,391215,1272.3506318400428,500
26,25,2023-03-21 13:42:57.399235,931813,1238.7981303191068,500
